Month,Total Gallons,Postal Code
4/1/2012,6711000,78747
4/1/2012,348300,78703
4/1/2012,57500,78751
4/1/2012,32900,78722
4/1/2012,18448500,78617
4/1/2012,9420300,78705
4/1/2012,14965500,78749
4/1/2012,1662200,78745
4/1/2012,11272400,78726
4/1/2012,41869400,78758
4/1/2012,70800,78747
4/1/2012,7200,78756
4/1/2012,0,78721
4/1/2012,37100,78702
4/1/2012,3482000,78727
4/1/2012,16906400,78726
4/1/2012,3500,78749
4/1/2012,1800,78729
4/1/2012,321800,78731
4/1/2012,0,78753
4/1/2012,12246600,78752
4/1/2012,12925300,78701
4/1/2012,1900,78721
4/1/2012,19500,78652
4/1/2012,500,78744
4/1/2012,44992300,78704
4/1/2012,58000,78613
4/1/2012,65450200,78748
4/1/2012,2500,78758
4/1/2012,19670700,78723
4/1/2012,47139500,78703
4/1/2012,4098200,78721
4/1/2012,2700,78737
4/1/2012,174800,78736
4/1/2012,770100,78704
4/1/2012,2099200,78725
4/1/2012,21669700,78744
4/1/2012,21344900,78754
4/1/2012,231400,78744
4/1/2012,255900,78725
4/1/2012,614800,78746
4/1/2012,360800,78705
4/1/2012,14177300,78748
4/1/2012,1615200,78729
4/1/2012,282000,78746
4/1/2012,2745600,78749
4/1/2012,48449400,78744
4/1/2012,1041600,78703
4/1/2012,19733400,78727
4/1/2012,32100,78726
4/1/2012,552100,78759
4/1/2012,43624800,78704
4/1/2012,1026000,78735
4/1/2012,865000,78728
4/1/2012,1116900,78701
4/1/2012,583800,78719
4/1/2012,37688900,78727
4/1/2012,152600,78730
4/1/2012,313900,78652
4/1/2012,1472900,78719
4/1/2012,25500,78613
4/1/2012,63600,78759
4/1/2012,657700,78742
4/1/2012,6612100,78728
4/1/2012,4400,78732
4/1/2012,33819500,78723
4/1/2012,29137600,78746
4/1/2012,28800,78733
4/1/2012,4507800,78728
4/1/2012,7678500,78730
4/1/2012,17964489,78741
4/1/2012,32377800,78757
4/1/2012,41663300,78758
4/1/2012,8679700,78702
4/1/2012,0,78712
4/1/2012,2377800,78617
4/1/2012,2333700,78753
4/1/2012,46594000,78753
4/1/2012,53417900,78750
4/1/2012,4327500,78730
4/1/2012,6054200,78737
4/1/2012,1561500,78730
4/1/2012,1733700,78758
4/1/2012,7731300,78660
4/1/2012,8156000,78722
4/1/2012,72996700,78745
4/1/2012,57263100,78731
4/1/2012,313300,78742
4/1/2012,12616500,78751
4/1/2012,15227500,78751
4/1/2012,12587100,78746
4/1/2012,36500,78757
4/1/2012,13342800,78757
4/1/2012,26566200,78702
4/1/2012,11657200,78703
4/1/2012,5585300,78756
4/1/2012,1253400,78754
4/1/2012,177200,78701
4/1/2012,13425300,78754
4/1/2012,322500,78751
4/1/2012,18134200,78752
4/1/2012,21052800,78747
4/1/2012,938000,78750
4/1/2012,16869400,78731
5/1/2012,973200,78731
5/1/2012,34300,78724
5/1/2012,34393900,78745
5/1/2012,5883600,78756
5/1/2012,190300,78747
5/1/2012,583300,78719
5/1/2012,28412500,78729
5/1/2012,15304700,78748
5/1/2012,19932400,78723
5/1/2012,89400,78756
5/1/2012,73636200,78750
5/1/2012,58000,78613
5/1/2012,19400,78652
5/1/2012,1701700,78703
5/1/2012,3554400,78753
5/1/2012,56080500,78744
5/1/2012,48233900,78753
5/1/2012,39673000,78759
5/1/2012,35600,78724
5/1/2012,5547800,78748
5/1/2012,5700,78737
5/1/2012,781200,78746
5/1/2012,19100,78736
5/1/2012,7600,78749
5/1/2012,8740500,78660
5/1/2012,531000,78731
5/1/2012,16111200,78754
5/1/2012,908900,78652
5/1/2012,43627000,78717
5/1/2012,4452300,78721
5/1/2012,1627700,78728
5/1/2012,107100,78759
5/1/2012,18915300,78752
5/1/2012,14200,78660
5/1/2012,122400,78751
5/1/2012,19635600,78727
5/1/2012,426200,78746
5/1/2012,22862000,78729
5/1/2012,1091800,78744
5/1/2012,70000,78745
5/1/2012,77900,78757
5/1/2012,0,78753
5/1/2012,20900,78741
5/1/2012,1537800,78754
5/1/2012,1497600,78750
5/1/2012,19400,78717
5/1/2012,44500,78722
5/1/2012,55223600,78704
5/1/2012,10388000,78735
5/1/2012,26100,78758
5/1/2012,0,78754
5/1/2012,49476300,78704
5/1/2012,11055900,78724
5/1/2012,4937500,78749
5/1/2012,7900,78727
5/1/2012,2378900,78725
5/1/2012,1404000,78701
5/1/2012,13290500,78701
5/1/2012,14669300,78752
5/1/2012,14374600,78756
5/1/2012,0,78712
5/1/2012,4127300,78660
5/1/2012,1693000,78735
5/1/2012,128000,78723
5/1/2012,81700,78705
5/1/2012,16297400,78721
5/1/2012,207800,78730
5/1/2012,258400,78704
5/1/2012,3064500,78722
5/1/2012,2785000,78617
5/1/2012,26322300,78726
5/1/2012,1991800,78704
5/1/2012,9700,78738
5/1/2012,6877800,78717
5/1/2012,3260100,78741
5/1/2012,2169800,78736
5/1/2012,196900,78736
5/1/2012,2387900,78729
5/1/2012,12343300,78705
5/1/2012,235000,78721
